Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Mo Alie-Cox,IND,1.0,0.03,0.67,8.36,0.07,TE
Dwayne Allen,NE,1.0,0.03,0.1,0.8,0.01,TE
Dan Arnold,NO,1.0,0.03,0.68,6.84,0.06,TE
Antony Auclair,TB,1.0,0.03,0.21,3.26,0.03,TE
Blake Bell,JAX,1.0,0.02,0.55,4.66,0.04,TE
Cameron Brate,TB,1.0,0.03,1.52,17.65,0.12,TE
Daniel Brown,CHI,1.0,0.02,0.49,4.7,0.04,TE
Trey Burton,CHI,1.0,0.29,3.83,48.27,0.4,TE
Derek Carrier,OAK,1.0,0.03,0.47,3.99,0.04,TE
Garrett Celek,SF,1.0,0.03,0.62,7.55,0.06,TE
Orson Charles,CLE,1.0,0.03,0.12,1.92,0.02,TE
Jared Cook,OAK,1.0,0.07,3.6,40.94,0.27,TE
Jason Croom,BUF,1.0,0.03,1.51,19.32,0.1,TE
Alan Cross,TB,1.0,0.04,0.26,3.09,0.03,TE
Sean Culkin,LAC,1.0,0.04,0.07,0.28,0.04,TE
Darrell Daniels,ARI,1.0,0.03,0.07,0.6,0.01,TE
Vernon Davis,WAS,1.0,0.02,2.51,26.92,0.26,TE
A.J. Derby,MIA,1.0,0.03,0.61,6.96,0.05,TE
Seth DeValve,CLE,1.0,0.03,0.55,7.07,0.05,TE
Ed Dickson,SEA,1.0,0.03,1.06,12.82,0.1,TE
Jack Doyle,IND,1.0,0.05,4.67,41.96,0.36,TE
Ross Dwelley,SF,1.0,0.03,0.35,3.93,0.04,TE
Eric Ebron,IND,1.0,0.76,2.99,33.04,0.25,TE
Rhett Ellison,NYG,1.0,0.08,1.53,14.95,0.08,TE
Evan Engram,NYG,1.0,1.17,3.87,34.8,0.29,TE
Zach Ertz,PHI,1.0,0.07,5.61,64.07,0.44,TE
Gerald Everett,LA,1.0,0.03,1.94,21.84,0.1,TE
Darren Fells,CLE,1.0,0.07,0.45,5.88,0.06,TE
Anthony Firkser,TEN,1.0,0.02,0.34,4.76,0.04,TE
Jordan Franks,CIN,1.0,0.03,0.59,6.26,0.05,TE
Antonio Gates,LAC,1.0,0.02,1.39,15.8,0.1,TE
Rico Gathers,DAL,1.0,0.02,0.36,5.14,0.04,TE
Mike Gesicki,MIA,1.0,0.03,1.46,16.24,0.11,TE
Dallas Goedert,PHI,1.0,0.05,0.95,12.44,0.07,TE
Jimmy Graham,GB,1.0,0.06,4.08,51.05,0.35,TE
Virgil Green,LAC,1.0,0.08,1.59,16.73,0.12,TE
Jermaine Gresham,ARI,1.0,0.06,1.04,10.91,0.06,TE
Xavier Grimble,PIT,1.0,0.03,0.36,3.69,0.04,TE
David Grinnage,,1.0,0.03,0.96,11.2,0.07,TE
Clark Harris,CIN,1.0,0.02,0.07,1.82,0.02,TE
Demetrius Harris,KC,1.0,0.03,1.06,11.19,0.08,TE
Chris Herndon,NYJ,1.0,0.06,2.43,30.66,0.24,TE
Tyler Higbee,LA,1.0,0.07,1.3,14.31,0.09,TE
Josh Hill,NO,1.0,0.13,1.89,19.94,0.12,TE
Jacob Hollister,NE,1.0,0.09,0.43,3.69,0.03,TE
Austin Hooper,ATL,1.0,0.09,3.72,39.93,0.25,TE
O.J. Howard,TB,1.0,0.12,2.67,43.29,0.37,TE
Jesse James,PIT,1.0,0.06,2.1,26.05,0.15,TE
Blake Jarwin,DAL,1.0,0.02,0.8,7.17,0.05,TE
Travis Kelce,KC,1.0,0.15,6.17,81.71,0.58,TE
Lance Kendricks,GB,1.0,0.02,1.11,11.0,0.09,TE
George Kittle,SF,1.0,0.17,5.93,78.77,0.45,TE
Jordan Leggett,NYJ,1.0,0.03,0.59,6.84,0.05,TE
Matt Lengel,CIN,1.0,0.02,0.34,4.85,0.04,TE
Marcedes Lewis,GB,1.0,0.03,0.39,3.78,0.04,TE
Chris Manhertz,CAR,1.0,0.03,0.31,2.05,0.02,TE
Vance McDonald,PIT,1.0,0.12,3.71,40.71,0.19,TE
David Njoku,CLE,1.0,0.09,3.26,38.2,0.23,TE
Nick O'Leary,MIA,1.0,0.05,1.56,20.11,0.15,TE
James O'Shaughnessy,JAX,1.0,0.04,2.17,20.85,0.12,TE
Greg Olsen,CAR,1.0,0.07,4.33,48.96,0.36,TE
Logan Paulsen,ATL,1.0,0.06,0.11,1.12,0.02,TE
Josh Perkins,PHI,1.0,0.03,0.29,4.18,0.03,TE
John Phillips,ARI,1.0,0.03,0.08,1.14,0.02,TE
MyCole Pruitt,TEN,1.0,0.01,0.08,1.26,0.02,TE
Jordan Reed,WAS,1.0,0.06,4.71,48.6,0.31,TE
Michael Roberts,DET,1.0,0.04,1.11,14.77,0.1,TE
Richard Rodgers,PHI,1.0,0.03,0.74,7.39,0.05,TE
Eric Saubert,ATL,1.0,0.03,0.25,2.07,0.02,TE
Dalton Schultz,DAL,1.0,0.03,0.48,6.05,0.04,TE
Ricky Seals-Jones,ARI,1.0,0.06,2.92,32.86,0.2,TE
Scott Simonson,NYG,1.0,0.02,0.16,1.39,0.01,TE
Jonnu Smith,TEN,1.0,0.04,1.6,17.81,0.14,TE
Lee Smith,OAK,1.0,0.03,0.13,1.85,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.02,0.1,0.66,0.02,TE
Luke Stocker,TEN,1.0,0.03,1.0,10.92,0.07,TE
Geoff Swaim,DAL,1.0,0.05,2.02,22.68,0.19,TE
Ian Thomas,CAR,1.0,0.03,0.25,2.32,0.03,TE
Logan Thomas,BUF,1.0,0.13,1.29,12.22,0.07,TE
Levine Toilolo,DET,1.0,0.03,0.27,2.79,0.03,TE
Eric Tomlinson,NYJ,1.0,0.07,0.75,6.64,0.04,TE
C.J. Uzomah,CIN,1.0,0.05,2.65,28.29,0.26,TE
Nick Vannett,SEA,1.0,0.07,2.35,23.34,0.2,TE
Benjamin Watson,NO,1.0,0.03,2.76,30.06,0.24,TE
Deon Yelder,KC,1.0,0.03,0.09,1.68,0.02,TE
