Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,200.9,0.87,0.97,27.58,0.18,0.12,0.08,QB
C.J. Beathard,SF,1.0,17.99,0.05,0.06,0.01,0.01,0.01,0.03,QB
Blake Bortles,JAX,1.0,252.41,1.63,0.95,24.02,0.16,0.05,0.16,QB
Sam Bradford,FA,1.0,241.12,1.44,0.78,4.6,0.06,0.07,0.0,QB
Tom Brady,NE,1.0,306.29,2.03,0.54,4.61,0.07,0.03,0.16,QB
Drew Brees,NO,1.0,309.83,1.89,0.72,1.83,0.06,0.02,0.06,QB
Teddy Bridgewater,NO,1.0,12.36,0.04,0.04,0.08,0.0,0.0,0.03,QB
Jacoby Brissett,IND,1.0,9.46,0.03,0.05,0.55,0.0,0.01,0.03,QB
Derek Carr,OAK,1.0,242.37,1.29,0.84,5.41,0.06,0.09,0.22,QB
Matt Cassel,DET,1.0,12.42,0.02,0.06,0.0,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,263.48,2.01,0.82,12.33,0.14,0.08,0.03,QB
Andy Dalton,CIN,1.0,256.82,1.77,0.75,6.56,0.07,0.06,0.0,QB
Chase Daniel,CHI,1.0,10.02,0.04,0.05,0.03,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,238.6,1.34,1.09,14.1,0.13,0.09,0.08,QB
Joshua Dobbs,PIT,1.0,19.57,0.09,0.1,0.0,0.01,0.01,0.04,QB
Jeff Driskel,CIN,1.0,21.68,0.06,0.11,0.0,0.01,0.01,0.04,QB
Ryan Fitzpatrick,TB,1.0,263.76,1.87,0.96,18.43,0.17,0.03,0.0,QB
Joe Flacco,BAL,1.0,240.08,1.53,0.81,6.92,0.08,0.04,0.13,QB
Nick Foles,PHI,1.0,17.24,0.08,0.09,0.02,0.01,0.01,0.03,QB
Blaine Gabbert,TEN,1.0,20.41,0.09,0.16,0.04,0.01,0.0,0.03,QB
Jimmy Garoppolo,SF,1.0,282.8,1.83,0.74,9.15,0.1,0.06,0.06,QB
Jared Goff,LAR,1.0,252.26,1.71,0.91,5.97,0.09,0.06,0.05,QB
Ryan Griffin,TB,1.0,20.42,0.06,0.09,0.0,0.01,0.01,0.04,QB
Taylor Heinicke,CAR,1.0,17.31,0.06,0.11,0.03,0.01,0.01,0.03,QB
Chad Henne,KC,1.0,11.88,0.04,0.04,0.75,0.01,0.01,0.02,QB
Taysom Hill,NO,1.0,0.12,0.01,0.01,0.0,0.01,0.01,0.04,QB
Brian Hoyer,NE,1.0,5.01,0.02,0.03,0.03,0.01,0.01,0.01,QB
Brett Hundley,SEA,1.0,10.07,0.04,0.06,0.06,0.02,0.01,0.03,QB
Lamar Jackson,BAL,1.0,33.93,0.14,0.15,2.29,0.04,0.03,0.03,QB
Case Keenum,DEN,1.0,240.88,1.29,0.96,7.6,0.07,0.05,0.03,QB
Chad Kelly,FA,1.0,14.98,0.04,0.1,0.06,0.01,0.01,0.04,QB
Cody Kessler,JAX,1.0,7.29,0.02,0.04,0.0,0.01,0.0,0.03,QB
DeShone Kizer,GB,1.0,31.56,0.08,0.19,0.14,0.01,0.01,0.03,QB
Andrew Luck,IND,1.0,258.44,1.71,1.04,13.68,0.11,0.1,0.09,QB
Patrick Mahomes,KC,1.0,285.22,1.96,0.85,22.06,0.15,0.11,0.08,QB
Eli Manning,NYG,1.0,243.86,1.42,0.79,3.02,0.04,0.04,0.0,QB
Sean Mannion,LAR,1.0,8.12,0.02,0.04,0.04,0.01,0.0,0.03,QB
Marcus Mariota,TEN,1.0,208.21,1.07,1.0,28.45,0.18,0.15,0.03,QB
Baker Mayfield,CLE,1.0,19.95,0.07,0.09,0.0,0.01,0.01,0.04,QB
AJ McCarron,OAK,1.0,7.61,0.03,0.05,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,17.26,0.06,0.12,0.07,0.01,0.01,0.02,QB
Colt McCoy,WAS,1.0,9.52,0.03,0.05,0.0,0.0,0.0,0.03,QB
Cam Newton,CAR,1.0,227.8,1.29,0.88,48.35,0.3,0.04,0.13,QB
Brock Osweiler,MIA,1.0,4.39,0.02,0.03,0.02,0.01,0.0,0.06,QB
Nathan Peterman,OAK,1.0,7.74,0.02,0.15,0.01,0.0,0.0,0.03,QB
Dak Prescott,DAL,1.0,194.24,0.95,0.7,24.98,0.18,0.04,0.07,QB
Philip Rivers,LAC,1.0,279.47,1.77,0.91,0.26,0.03,0.01,0.03,QB
Aaron Rodgers,GB,1.0,247.97,1.75,0.61,15.5,0.13,0.07,0.13,QB
Ben Roethlisberger,PIT,1.0,327.02,1.95,1.03,6.51,0.12,0.05,0.22,QB
Josh Rosen,ARI,1.0,33.48,0.11,0.13,0.22,0.02,0.01,0.04,QB
Cooper Rush,DAL,1.0,9.38,0.03,0.05,0.05,0.0,0.01,0.03,QB
Matt Ryan,ATL,1.0,263.32,1.72,0.81,13.3,0.13,0.09,0.0,QB
Matt Schaub,ATL,1.0,6.56,0.02,0.07,0.02,0.0,0.0,0.11,QB
Trevor Siemian,MIN,1.0,18.66,0.04,0.1,0.0,0.01,0.0,0.03,QB
Alex Smith,WAS,1.0,262.07,1.9,0.6,19.46,0.11,0.05,0.06,QB
Geno Smith,LAC,1.0,11.34,0.04,0.08,0.04,0.0,0.01,0.03,QB
Matthew Stafford,DET,1.0,289.4,2.0,0.79,4.39,0.07,0.03,0.06,QB
Ryan Tannehill,MIA,1.0,244.65,1.52,0.74,18.04,0.16,0.11,0.09,QB
Tyrod Taylor,CLE,1.0,208.1,1.13,0.55,30.53,0.18,0.03,0.06,QB
Mitchell Trubisky,CHI,1.0,208.44,0.96,0.77,23.58,0.18,0.12,0.08,QB
Deshaun Watson,HOU,1.0,260.77,1.8,0.97,35.93,0.21,0.15,0.13,QB
Joe Webb,HOU,1.0,3.25,0.02,0.03,0.03,0.01,0.0,0.0,QB
Brandon Weeden,HOU,1.0,17.01,0.06,0.09,0.0,0.01,0.0,0.06,QB
Carson Wentz,PHI,1.0,237.26,1.56,0.77,23.63,0.17,0.13,0.23,QB
Russell Wilson,SEA,1.0,235.54,1.55,0.6,26.11,0.15,0.03,0.09,QB
